Timedate,Max,Mean,Min
1.8.19:00,1298.0,1090.2727272727273,896.0
1.8.20:00,1262.0,1072.6363636363637,898.0
1.8.21:00,1241.0,1042.090909090909,875.0
1.8.22:00,1161.0,1000.3636363636364,842.0
1.8.23:00,1122.0,966.9090909090909,820.0
1.9.00:00,1315.0,1102.4545454545455,924.0
1.9.01:00,1291.0,1095.909090909091,914.0
1.9.02:00,1288.0,1092.7272727272727,907.0
1.9.03:00,1300.0,1105.0,907.0
1.9.04:00,1416.0,1176.8181818181818,937.0
1.9.05:00,1616.0,1312.7272727272727,962.0
1.9.06:00,1877.0,1483.6363636363637,1012.0
1.9.07:00,1988.0,1557.5454545454545,1054.0
1.9.08:00,1985.0,1581.3636363636363,1092.0
1.9.09:00,2041.0,1616.909090909091,1145.0
1.9.10:00,2031.0,1621.5454545454545,1161.0
1.9.11:00,1989.0,1591.909090909091,1160.0
1.9.12:00,2007.0,1601.0,1157.0
1.9.13:00,1992.0,1581.1818181818182,1146.0
1.9.14:00,1937.0,1551.8181818181818,1153.0
1.9.15:00,1808.0,1462.2727272727273,1134.0
1.9.16:00,1697.0,1397.4545454545455,1110.0
1.9.17:00,1608.0,1336.0,1098.0
1.9.18:00,1548.0,1302.909090909091,1072.0
1.9.19:00,1544.0,1304.0,1106.0
1.9.20:00,1495.0,1259.090909090909,1070.0
1.9.21:00,1431.0,1207.090909090909,1041.0
1.9.22:00,1371.0,1153.8181818181818,1019.0
1.9.23:00,1321.0,1121.5454545454545,985.0
10.1.00:00,1456.0,1299.3636363636363,1141.0
10.1.01:00,1424.0,1282.4545454545455,1124.0
10.1.02:00,1403.0,1267.8181818181818,1114.0
10.1.03:00,1396.0,1272.0,1110.0
10.1.04:00,1416.0,1295.1818181818182,1120.0
10.1.05:00,1552.0,1374.2727272727273,1134.0
10.1.06:00,1851.0,1566.909090909091,1190.0
10.1.07:00,2094.0,1780.8181818181818,1270.0
10.1.08:00,2181.0,1858.6363636363637,1306.0
10.1.09:00,2181.0,1855.7272727272727,1318.0
10.1.10:00,2201.0,1888.5454545454545,1335.0
10.1.11:00,2201.0,1887.4545454545455,1323.0
10.1.12:00,2178.0,1854.5454545454545,1301.0
10.1.13:00,2205.0,1861.3636363636363,1304.0
10.1.14:00,2190.0,1830.8181818181818,1273.0
10.1.15:00,2165.0,1808.0,1281.0
10.1.16:00,2033.0,1733.3636363636363,1291.0
10.1.17:00,1940.0,1663.1818181818182,1277.0
10.1.18:00,1869.0,1597.7272727272727,1242.0
10.1.19:00,1797.0,1556.2727272727273,1228.0
10.1.20:00,1755.0,1509.4545454545455,1228.0
10.1.21:00,1670.0,1447.8181818181818,1189.0
10.1.22:00,1601.0,1385.8181818181818,1142.0
10.1.23:00,1511.0,1337.3636363636363,1135.0
10.10.00:00,1331.0,1133.7272727272727,946.0
10.10.01:00,1329.0,1134.0,938.0
10.10.02:00,1325.0,1136.8181818181818,959.0
10.10.03:00,1363.0,1156.5454545454545,972.0
10.10.04:00,1468.0,1242.090909090909,1003.0
10.10.05:00,1721.0,1445.1818181818182,1053.0
10.10.06:00,1976.0,1644.0,1117.0
10.10.07:00,2070.0,1704.6363636363637,1142.0
10.10.08:00,2077.0,1714.5454545454545,1155.0
10.10.09:00,2114.0,1741.1818181818182,1185.0
10.10.10:00,2092.0,1734.909090909091,1185.0
10.10.11:00,2021.0,1696.0,1186.0
10.10.12:00,2057.0,1694.090909090909,1170.0
10.10.13:00,1998.0,1665.0,1146.0
10.10.14:00,1979.0,1636.090909090909,1153.0
10.10.15:00,1834.0,1538.4545454545455,1140.0
10.10.16:00,1728.0,1475.6363636363637,1108.0
10.10.17:00,1693.0,1448.090909090909,1137.0
10.10.18:00,1681.0,1427.0,1135.0
10.10.19:00,1619.0,1381.6363636363637,1100.0
10.10.20:00,1535.0,1324.5454545454545,1066.0
10.10.21:00,1453.0,1260.5454545454545,1001.0
10.10.22:00,1366.0,1205.909090909091,1004.0
10.10.23:00,1336.0,1172.1818181818182,988.0
10.11.00:00,1400.0,1215.6363636363637,1064.0
10.11.01:00,1392.0,1195.0,1047.0
10.11.02:00,1371.0,1184.4545454545455,1034.0
10.11.03:00,1351.0,1185.3636363636363,1044.0
10.11.04:00,1381.0,1204.7272727272727,1038.0
10.11.05:00,1494.0,1283.1818181818182,1072.0
10.11.06:00,1764.0,1460.1818181818182,1091.0
10.11.07:00,2026.0,1638.7272727272727,1151.0
10.11.08:00,2076.0,1694.5454545454545,1170.0
10.11.09:00,2120.0,1714.909090909091,1191.0
10.11.10:00,2145.0,1748.7272727272727,1256.0
10.11.11:00,2110.0,1749.1818181818182,1264.0
10.11.12:00,2047.0,1717.2727272727273,1256.0
10.11.13:00,2071.0,1714.909090909091,1257.0
10.11.14:00,2030.0,1692.6363636363637,1272.0
10.11.15:00,2021.0,1676.7272727272727,1284.0
10.11.16:00,1921.0,1612.8181818181818,1287.0
10.11.17:00,1806.0,1558.5454545454545,1289.0
10.11.18:00,1776.0,1500.090909090909,1241.0
10.11.19:00,1723.0,1461.1818181818182,1210.0
10.11.20:00,1661.0,1414.2727272727273,1176.0
10.11.21:00,1592.0,1350.8181818181818,1143.0
10.11.22:00,1506.0,1291.4545454545455,1101.0
10.11.23:00,1441.0,1245.2727272727273,1074.0
10.12.00:00,1441.0,1297.7272727272727,1156.0
10.12.01:00,1408.0,1277.4545454545455,1121.0
10.12.02:00,1386.0,1263.8181818181818,1131.0
10.12.03:00,1402.0,1272.1818181818182,1118.0
10.12.04:00,1432.0,1292.3636363636363,1122.0
10.12.05:00,1543.0,1384.7272727272727,1152.0
10.12.06:00,1788.0,1576.909090909091,1212.0
10.12.07:00,2086.0,1786.6363636363637,1261.0
10.12.08:00,2181.0,1863.4545454545455,1312.0
10.12.09:00,2187.0,1863.4545454545455,1341.0
10.12.10:00,2233.0,1902.7272727272727,1377.0
10.12.11:00,2238.0,1901.1818181818182,1387.0
10.12.12:00,2177.0,1866.909090909091,1380.0
10.12.13:00,2220.0,1876.8181818181818,1359.0
10.12.14:00,2186.0,1853.1818181818182,1356.0
10.12.15:00,2162.0,1838.0,1349.0
10.12.16:00,2023.0,1756.4545454545455,1348.0
10.12.17:00,1921.0,1689.8181818181818,1322.0
10.12.18:00,1853.0,1622.1818181818182,1294.0
10.12.19:00,1789.0,1570.1818181818182,1253.0
10.12.20:00,1730.0,1519.5454545454545,1230.0
10.12.21:00,1660.0,1455.1818181818182,1193.0
10.12.22:00,1604.0,1404.4545454545455,1166.0
10.12.23:00,1510.0,1350.1818181818182,1133.0
10.2.00:00,1548.0,1342.0,1066.0
10.2.01:00,1522.0,1320.5454545454545,1069.0
10.2.02:00,1498.0,1305.2727272727273,1048.0
10.2.03:00,1517.0,1314.090909090909,1041.0
10.2.04:00,1545.0,1337.6363636363637,1041.0
10.2.05:00,1629.0,1418.8181818181818,1066.0
10.2.06:00,1868.0,1620.5454545454545,1118.0
10.2.07:00,2137.0,1821.7272727272727,1169.0
10.2.08:00,2242.0,1890.909090909091,1188.0
10.2.09:00,2227.0,1897.4545454545455,1244.0
10.2.10:00,2250.0,1922.1818181818182,1248.0
10.2.11:00,2226.0,1916.4545454545455,1261.0
10.2.12:00,2166.0,1880.909090909091,1293.0
10.2.13:00,2158.0,1878.6363636363637,1287.0
10.2.14:00,2124.0,1853.6363636363637,1287.0
10.2.15:00,2068.0,1810.1818181818182,1282.0
10.2.16:00,1963.0,1722.1818181818182,1285.0
10.2.17:00,1953.0,1690.1818181818182,1309.0
10.2.18:00,1890.0,1632.2727272727273,1289.0
10.2.19:00,1840.0,1579.8181818181818,1282.0
10.2.20:00,1766.0,1534.7272727272727,1252.0
10.2.21:00,1674.0,1473.5454545454545,1196.0
10.2.22:00,1612.0,1416.4545454545455,1169.0
10.2.23:00,1546.0,1365.090909090909,1168.0
10.3.00:00,1435.0,1290.4545454545455,1100.0
10.3.01:00,1427.0,1269.5454545454545,1091.0
10.3.02:00,1388.0,1260.909090909091,1066.0
10.3.03:00,1396.0,1260.7272727272727,1055.0
10.3.04:00,1427.0,1285.7272727272727,1062.0
10.3.05:00,1543.0,1363.8181818181818,1069.0
10.3.06:00,1764.0,1533.8181818181818,1135.0
10.3.07:00,1990.0,1697.5454545454545,1146.0
10.3.08:00,2070.0,1769.6363636363637,1178.0
10.3.09:00,2089.0,1780.1818181818182,1216.0
10.3.10:00,2137.0,1804.1818181818182,1239.0
10.3.11:00,2151.0,1800.7272727272727,1242.0
10.3.12:00,2104.0,1772.1818181818182,1254.0
10.3.13:00,2127.0,1763.8181818181818,1234.0
10.3.14:00,2095.0,1734.090909090909,1218.0
10.3.15:00,2067.0,1706.7272727272727,1236.0
10.3.16:00,1930.0,1629.7272727272727,1228.0
10.3.17:00,1861.0,1583.1818181818182,1234.0
10.3.18:00,1820.0,1570.4545454545455,1277.0
10.3.19:00,1783.0,1545.7272727272727,1287.0
10.3.20:00,1717.0,1499.4545454545455,1276.0
10.3.21:00,1650.0,1443.4545454545455,1242.0
10.3.22:00,1559.0,1382.2727272727273,1209.0
10.3.23:00,1500.0,1334.5454545454545,1201.0
10.4.00:00,1324.0,1198.4545454545455,1041.0
10.4.01:00,1318.0,1191.1818181818182,1037.0
10.4.02:00,1296.0,1196.8181818181818,1041.0
10.4.03:00,1335.0,1219.7272727272727,1067.0
10.4.04:00,1435.0,1295.4545454545455,1102.0
10.4.05:00,1676.0,1450.0,1143.0
10.4.06:00,1978.0,1634.4545454545455,1174.0
10.4.07:00,2090.0,1704.090909090909,1177.0
10.4.08:00,2061.0,1703.909090909091,1174.0
10.4.09:00,2090.0,1723.909090909091,1168.0
10.4.10:00,2103.0,1716.090909090909,1157.0
10.4.11:00,2054.0,1686.0,1138.0
10.4.12:00,2074.0,1677.4545454545455,1097.0
10.4.13:00,2023.0,1645.7272727272727,1081.0
10.4.14:00,2000.0,1620.090909090909,1066.0
10.4.15:00,1841.0,1523.7272727272727,1047.0
