 ;Timmätt förbr;Timmätt förbr;Timmätt förbr;Timmätt förbr;Ospec.;Ospec.;Ospec.;Ospec.;Avkopplingsb.;Avkopplingsb.;Avkopplingsb.;Avkopplingsb.;Ospec. ;Ospec. ;Ospec. ;Ospec. ;Vattenkraft ;Vattenkraft ;Vattenkraft ;Vattenkraft ;Vindkraft;Vindkraft;Vindkraft;Vindkraft;Kärnkraft;Värmekraft;Värmekraft;Värmekraft;Värmekraft;Gast./diesel;Gast./diesel;Gast./diesel;Gast./diesel;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Solkraft;Solkraft;Solkraft;Solkraft
5.2.2017 14:00;-848;-1 187;-5 979;-1 405;-3.19;-0.18;-42.31;0.00;-2.21;-4.29;-44.12;-2.00;0.00;0.00;0.00;0.04;2892;4889;747;101;33.3;31;462;650;9131;40.2;150.1;1039;325;0.31;0.08;0.15;0.35;-308;-655;-4 969;-1 700;-28.2;-46.6;-373.8;-121.0;0.000;0.005;0.247;0.193
5.2.2017 15:00;-860;-1 183;-6 063;-1 406;-3.13;-0.14;-42.12;0.00;-2.14;-4.57;-47.02;-2.01;0.00;0.00;0.00;0.09;3011;4833;750;105;34.7;29;465;733;9130;40.3;151.9;1044;324;0.29;0.09;0.12;0.35;-322;-678;-5 006;-1 708;-29.5;-48.3;-376.8;-121.5;0.000;0.011;0.126;0.067
5.2.2017 16:00;-855;-1 213;-6 086;-1 419;-3.14;-0.24;-42.11;0.00;-1.99;-4.10;-47.47;-2.14;0.00;0.00;0.00;0.06;3190;5119;800;107;35.9;31;477;784;9122;39.9;152.7;1048;324;0.31;0.07;0.12;0.37;-348;-733;-5 258;-1 803;-31.8;-52.1;-396.2;-128.3;0.000;0.007;0.024;0.019
5.2.2017 17:00;-856;-1 218;-6 112;-1 419;-3.08;-0.17;-42.42;0.00;-10.76;-4.86;-47.91;-2.05;0.00;0.00;0.00;0.15;3455;5249;916;107;45.1;36;480;787;9123;41.4;158.5;1049;323;0.31;0.04;0.12;0.32;-349;-750;-5 604;-1 945;-31.9;-53.3;-422.6;-138.6;0.000;0.013;0.022;0.018
5.2.2017 18:00;-832;-1 193;-6 032;-1 398;-3.00;-0.17;-42.02;0.00;-6.59;-4.77;-46.28;-2.04;0.00;0.00;0.00;0.10;3449;5298;895;105;47.0;40;482;736;9125;38.3;157.8;1062;322;0.29;0.02;0.12;0.31;-345;-737;-5 639;-1 952;-31.6;-52.3;-425.2;-139.3;0.000;0.019;0.020;0.015
5.2.2017 19:00;-822;-1 192;-5 927;-1 382;-3.00;-0.27;-43.13;0.00;-2.56;-4.72;-44.50;-2.07;0.00;0.00;0.00;0.03;3298;5178;804;104;47.1;45;534;778;9128;39.7;151.2;1070;324;0.29;0.05;0.09;0.38;-340;-721;-5 510;-1 894;-31.1;-51.3;-415.3;-135.1;0.000;0.017;0.019;0.014
5.2.2017 20:00;-813;-1 174;-5 882;-1 367;-2.93;-0.16;-43.25;0.00;-2.73;-4.21;-44.82;-1.98;0.00;0.00;0.00;0.09;3001;5075;717;100;50.2;44;524;819;9129;43.4;147.6;1068;323;0.30;0.07;0.16;0.37;-327;-697;-5 251;-1 796;-30.0;-49.6;-395.6;-128.0;0.000;0.021;0.017;0.015
5.2.2017 21:00;-824;-1 162;-5 781;-1 337;-2.96;-0.23;-75.72;0.00;-8.95;-2.81;-43.84;-1.63;0.00;0.00;0.00;0.03;2848;4788;693;100;52.4;47;483;757;9125;43.2;153.9;1080;325;0.31;0.05;0.18;0.40;-315;-669;-4 921;-1 689;-28.9;-47.6;-370.4;-120.3;0.000;0.019;0.020;0.014
5.2.2017 22:00;-816;-1 137;-5 658;-1 310;-3.20;-0.13;-71.46;0.00;-5.60;-2.69;-43.84;-2.06;0.00;0.00;0.00;0.07;2659;4338;672;85;46.8;32;472;714;9124;47.7;151.0;1051;324;0.30;0.03;0.19;0.35;-296;-632;-4 540;-1 564;-27.2;-45.0;-341.2;-111.2;0.000;0.018;0.013;0.012
5.2.2017 23:00;-821;-1 135;-5 558;-1 298;-3.35;-0.13;-77.13;0.00;-3.16;-2.50;-48.47;-1.63;0.00;0.00;0.00;0.22;2223;3917;619;72;43.4;25;487;678;9124;46.0;150.0;1048;325;0.30;0.06;0.17;0.36;-277;-590;-4 163;-1 445;-25.5;-42.1;-312.5;-102.6;0.000;0.016;0.008;0.009
6.2.2017 0:00;-791;-1 124;-5 487;-1 278;-3.23;-0.23;-96.63;0.00;-3.86;-2.74;-82.83;-1.77;0.00;0.00;0.00;0.03;1741;3386;598;60;42.6;34;482;607;9125;45.1;147.2;1030;321;0.30;0.07;0.09;0.34;-269;-569;-3 938;-1 376;-24.7;-40.7;-295.3;-97.6;0.000;0.019;0.009;0.010
6.2.2017 1:00;-802;-1 135;-5 424;-1 273;-3.25;-0.17;-88.27;0.00;-4.80;-2.57;-95.69;-2.06;0.13;0.00;0.00;0.21;1636;3153;601;56;43.0;32;478;580;9126;43.1;142.6;1012;313;0.30;0.06;0.06;0.40;-264;-560;-3 849;-1 341;-24.2;-40.1;-288.3;-95.1;0.000;0.015;0.008;0.013
6.2.2017 2:00;-795;-1 137;-5 446;-1 269;-3.28;-0.17;-99.53;0.00;-5.31;-2.46;-93.47;-1.73;0.09;0.00;0.00;0.01;1533;3114;598;56;44.0;27;493;560;9124;41.1;133.2;996;313;0.29;0.05;0.05;0.40;-264;-562;-3 843;-1 340;-24.2;-40.2;-287.8;-94.9;0.000;0.010;0.009;0.012
6.2.2017 3:00;-779;-1 136;-5 534;-1 277;-3.18;-0.27;-91.09;0.00;-3.16;-2.93;-94.18;-1.43;0.00;0.00;0.00;0.34;1606;3139;567;55;45.8;20;552;574;9123;37.9;136.6;990;317;0.30;0.11;0.06;0.39;-270;-571;-3 879;-1 346;-24.7;-40.8;-290.4;-95.3;0.000;0.001;0.008;0.011
6.2.2017 4:00;-796;-1 136;-5 662;-1 300;-3.34;-0.13;-70.74;0.00;-2.96;-3.46;-95.40;-2.05;0.00;0.00;0.00;0.04;1739;3380;604;62;42.6;17;571;633;9121;39.0;143.0;979;314;0.29;0.14;0.06;0.38;-279;-590;-3 973;-1 366;-25.6;-42.1;-297.4;-96.7;0.000;0.000;0.008;0.015
6.2.2017 5:00;-820;-1 178;-6 049;-1 425;-3.48;-0.23;-99.79;0.00;-2.13;-4.04;-84.44;-1.82;0.00;0.00;0.00;0.02;2828;3927;657;67;37.6;12;579;635;9122;41.9;145.0;984;316;0.30;0.10;0.05;0.36;-294;-624;-4 198;-1 432;-26.8;-44.5;-314.3;-101.3;0.000;0.002;0.009;0.010
6.2.2017 6:00;-867;-1 255;-6 805;-1 713;-3.34;-0.16;-76.77;0.00;-2.02;-5.70;-90.01;-1.75;0.00;0.00;0.00;0.03;3526;4800;886;83;31.7;14;629;611;9122;36.9;154.9;998;321;0.30;0.07;0.03;0.30;-313;-672;-4 644;-1 567;-28.5;-47.9;-348.0;-111.0;0.000;0.004;0.011;0.009
6.2.2017 7:00;-920;-1 351;-7 638;-1 994;-3.20;-0.18;-82.90;0.00;-2.20;-5.51;-92.25;-1.76;0.00;0.00;0.00;0.08;4090;5743;1340;88;41.2;15;641;592;9121;36.0;158.3;1019;325;0.30;0.03;0.06;0.28;-317;-694;-4 947;-1 670;-28.9;-49.5;-371.4;-118.6;0.000;0.005;0.016;0.013
6.2.2017 8:00;-929;-1 371;-7 874;-2 080;-3.26;-0.29;-58.43;0.00;-2.32;-4.93;-89.87;-1.98;0.00;0.00;0.00;0.11;4133;6116;1387;116;39.5;18;652;594;9121;36.1;157.9;1027;317;0.31;0.01;0.04;0.31;-307;-675;-4 861;-1 644;-27.9;-48.1;-365.3;-116.9;0.000;0.002;0.034;0.025
6.2.2017 9:00;-912;-1 390;-7 868;-2 068;-3.24;-0.21;-79.88;0.00;-2.04;-5.39;-90.77;-1.87;0.00;0.00;0.00;0.26;3992;6150;1150;121;41.9;18;647;575;9121;35.6;156.8;1028;304;0.36;0.02;0.06;0.27;-306;-673;-4 865;-1 651;-27.9;-48.1;-366.1;-117.5;0.000;0.004;0.180;0.098
6.2.2017 10:00;-911;-1 403;-7 968;-2 100;-3.22;-0.30;-97.05;0.00;-2.05;-4.57;-108.73;-1.68;0.00;0.00;0.00;0.44;4099;6222;1256;120;49.2;15;666;616;9123;35.7;155.8;991;301;0.37;0.00;0.05;0.33;-307;-673;-4 868;-1 658;-28.0;-48.1;-366.8;-118.2;0.000;0.006;0.543;0.204
6.2.2017 11:00;-896;-1 410;-7 951;-2 085;-3.33;-0.19;-92.14;0.00;-2.21;-5.29;-111.17;-1.94;0.00;0.00;0.00;0.31;4106;6179;1310;121;47.7;11;644;633;9121;40.2;155.3;1012;306;0.35;0.01;0.09;0.38;-307;-673;-4 875;-1 668;-28.0;-48.1;-367.5;-118.9;0.000;0.008;0.842;0.352
6.2.2017 12:00;-914;-1 390;-7 933;-2 067;-3.41;-0.20;-100.32;0.00;-2.23;-6.14;-112.40;-1.79;0.00;0.00;0.00;0.34;3947;6068;1272;121;47.3;8;637;688;9121;38.5;153.7;1037;323;0.36;0.01;0.14;0.40;-305;-668;-4 879;-1 663;-27.9;-47.7;-367.9;-118.6;0.000;0.010;0.990;0.403
6.2.2017 13:00;-931;-1 386;-7 927;-2 097;-3.39;-0.30;-84.90;0.00;-5.99;-6.29;-113.43;-1.53;0.00;0.00;0.16;0.23;3845;6064;1217;121;45.7;10;687;741;9121;37.6;151.9;1015;340;0.36;0.00;0.13;0.46;-303;-666;-4 846;-1 648;-27.7;-47.5;-365.5;-117.5;0.000;0.007;0.814;0.369
6.2.2017 14:00;-918;-1 390;-7 907;-2 059;-3.23;-0.20;-83.41;0.00;-5.48;-6.38;-114.01;-1.74;0.00;0.00;0.00;0.22;3886;6064;1221;119;40.2;11;722;780;9123;37.2;151.3;1028;344;0.37;0.01;0.20;0.40;-306;-672;-4 876;-1 657;-27.8;-47.9;-367.8;-118.1;0.000;0.005;0.809;0.235
6.2.2017 15:00;-918;-1 403;-7 876;-2 037;-3.30;-0.15;-80.84;0.00;-6.27;-6.75;-111.86;-1.74;0.00;0.00;0.00;0.16;3837;5982;1253;119;45.0;14;770;830;9122;32.8;150.1;1003;342;0.35;0.00;0.17;0.32;-322;-698;-5 020;-1 714;-29.3;-49.8;-378.7;-122.1;0.000;0.003;0.307;0.080
6.2.2017 16:00;-903;-1 354;-7 620;-1 915;-3.43;-0.25;-99.14;0.00;-5.16;-7.36;-111.01;-1.41;0.00;0.00;0.00;0.30;3911;6044;1351;117;50.0;15;806;833;9121;37.7;150.6;1008;342;0.36;0.00;0.18;0.35;-355;-765;-5 434;-1 844;-32.4;-54.5;-409.9;-131.4;0.000;0.010;0.054;0.019
6.2.2017 17:00;-897;-1 320;-7 500;-1 831;-3.35;-0.19;-93.83;0.00;-9.70;-6.80;-109.38;-1.74;0.00;0.00;0.00;0.39;4118;6115;1371;116;48.0;18;822;928;9121;30.3;147.7;1033;348;0.37;0.00;0.21;0.39;-365;-801;-6 008;-2 050;-33.3;-56.9;-453.1;-146.2;0.000;0.019;0.021;0.017
6.2.2017 18:00;-875;-1 290;-7 260;-1 775;-3.44;-0.29;-94.25;0.00;-8.52;-6.67;-110.48;-1.52;0.00;0.00;0.00;0.35;4049;6159;1387;115;46.8;22;769;882;9121;29.3;144.6;1046;368;0.36;0.00;0.22;0.33;-358;-788;-6 105;-2 083;-32.8;-55.9;-460.2;-148.6;0.000;0.013;0.017;0.015
6.2.2017 19:00;-854;-1 271;-6 972;-1 730;-3.36;-0.18;-99.40;0.00;-8.34;-6.05;-114.35;-1.49;0.00;0.00;0.00;0.42;3838;5945;1238;103;39.7;23;799;875;9122;30.1;146.0;1062;347;0.36;0.02;0.21;0.43;-351;-772;-6 013;-2 044;-32.2;-54.8;-453.0;-145.7;0.000;0.016;0.013;0.010
6.2.2017 20:00;-844;-1 243;-6 725;-1 679;-3.29;-0.18;-102.52;0.00;-8.29;-6.10;-118.41;-1.54;0.00;0.00;0.00;0.20;3584;5444;1019;86;40.6;32;836;860;9124;30.5;146.4;1048;345;0.35;0.02;0.26;0.47;-344;-752;-5 812;-1 974;-31.5;-53.4;-437.4;-140.5;0.000;0.014;0.015;0.010
6.2.2017 21:00;-854;-1 218;-6 532;-1 597;-3.40;-0.23;-83.69;0.00;-8.08;-5.14;-114.52;-1.29;0.00;0.00;0.00;0.49;3396;4884;901;83;44.3;35;822;866;9124;30.1;142.4;1055;343;0.37;0.01;0.30;0.50;-332;-726;-5 522;-1 878;-30.3;-51.7;-415.1;-133.5;0.000;0.016;0.014;0.012
6.2.2017 22:00;-810;-1 203;-6 337;-1 531;-3.30;-0.13;-85.08;0.00;-8.28;-5.06;-111.08;-1.59;0.00;0.00;0.00;0.27;3044;4516;780;74;46.5;31;811;807;9127;36.9;141.1;1058;342;0.37;0.01;0.32;0.46;-315;-689;-5 153;-1 756;-28.9;-49.1;-386.7;-124.6;0.000;0.014;0.020;0.010
6.2.2017 23:00;-816;-1 179;-6 107;-1 466;-3.24;-0.23;-97.33;0.00;-8.42;-5.25;-108.45;-1.61;0.00;0.00;0.00;0.31;2736;4184;758;74;46.7;48;790;774;9124;31.1;139.3;1038;316;0.37;0.02;0.34;0.46;-299;-649;-4 784;-1 636;-27.4;-46.3;-358.5;-115.9;0.000;0.014;0.014;0.010
7.2.2017 0:00;-776;-1 185;-5 952;-1 429;-2.86;-0.13;-91.69;0.00;-8.32;-5.86;-107.24;-1.30;0.00;0.00;0.00;0.35;1833;3613;714;58;49.1;44;743;731;9119;31.3;140.4;1020;309;0.35;0.03;0.39;0.41;-291;-629;-4 587;-1 567;-26.8;-44.8;-343.3;-110.9;0.000;0.014;0.015;0.008
7.2.2017 1:00;-763;-1 166;-5 910;-1 406;-2.85;-0.17;-67.85;0.00;-8.45;-5.26;-108.61;-1.33;0.00;0.00;0.00;0.36;1750;3230;690;52;46.8;47;733;727;9114;34.3;139.3;1004;300;0.36;0.04;0.40;0.43;-289;-623;-4 527;-1 543;-26.5;-44.4;-338.6;-109.1;0.000;0.012;0.011;0.009
7.2.2017 2:00;-751;-1 158;-5 863;-1 400;-2.89;-0.27;-90.36;0.00;-13.64;-5.32;-111.49;-1.43;0.00;0.00;0.00;0.32;1745;3161;688;51;49.5;59;757;763;9115;36.1;140.5;987;296;0.36;0.05;0.40;0.43;-290;-627;-4 536;-1 538;-26.6;-44.7;-339.2;-108.7;0.000;0.005;0.011;0.009
7.2.2017 3:00;-756;-1 142;-5 848;-1 404;-2.80;-0.17;-87.54;0.00;-13.49;-6.11;-113.51;-1.77;0.00;0.00;0.00;0.43;1691;3188;701;51;53.2;62;772;744;9117;33.7;142.8;970;301;0.36;0.08;0.39;0.41;-297;-639;-4 587;-1 543;-27.3;-45.6;-343.1;-109.0;0.000;0.004;0.011;0.012
7.2.2017 4:00;-764;-1 153;-5 914;-1 436;-2.76;-0.23;-85.37;0.00;-13.42;-6.01;-111.08;-1.28;0.00;0.00;0.00;0.36;1747;3281;719;56;51.9;65;823;702;9115;33.0;144.9;966;300;0.36;0.09;0.41;0.42;-308;-663;-4 692;-1 564;-28.3;-47.2;-351.0;-110.5;0.000;0.003;0.010;0.011
7.2.2017 5:00;-786;-1 213;-6 211;-1 541;-2.70;-0.13;-61.34;0.00;-22.69;-6.02;-107.38;-1.32;0.00;0.00;0.00;0.41;2503;3963;789;58;53.5;77;889;776;9116;32.4;145.7;981;301;0.36;0.08;0.36;0.39;-324;-705;-4 932;-1 633;-29.6;-50.2;-369.1;-115.4;0.000;0.004;0.009;0.011
7.2.2017 6:00;-845;-1 299;-6 970;-1 788;-2.88;-0.17;-60.52;0.00;-23.39;-5.55;-110.24;-1.58;0.00;0.00;0.00;0.29;3580;4973;949;78;55.5;67;911;915;9115;32.7;151.7;1007;319;0.37;0.02;0.30;0.31;-346;-759;-5 384;-1 769;-31.6;-54.1;-403.3;-125.1;0.000;0.000;0.010;0.011
7.2.2017 7:00;-899;-1 391;-7 728;-2 080;-3.04;-0.29;-68.10;0.00;-18.69;-6.35;-114.98;-1.38;0.00;0.00;0.00;0.43;4162;5716;1330;91;62.7;71;929;1011;9113;34.4;157.6;1036;330;0.36;0.02;0.27;0.28;-351;-779;-5 664;-1 874;-32.1;-55.6;-424.9;-132.9;0.000;0.000;0.013;0.012
7.2.2017 8:00;-914;-1 381;-7 937;-2 159;-2.98;-0.20;-100.44;0.00;-11.20;-6.86;-116.64;-1.32;0.00;0.00;0.00;0.36;4083;6050;1393;100;67.0;88;959;1054;9113;35.5;159.0;1038;329;0.19;0.00;0.29;0.28;-346;-762;-5 562;-1 858;-31.6;-54.4;-417.7;-131.8;0.000;0.003;0.130;0.028
7.2.2017 9:00;-917;-1 383;-7 963;-2 170;-3.11;-0.31;-86.02;0.00;-22.51;-6.59;-111.74;-1.34;0.00;0.00;0.00;0.27;4084;6159;1473;117;69.3;88;944;1024;9113;36.4;160.2;1063;329;0.00;0.00;29.07;0.28;-344;-754;-5 487;-1 870;-31.4;-53.8;-412.5;-132.7;0.001;0.015;1.118;0.099
7.2.2017 10:00;-909;-1 352;-8 022;-2 199;-3.12;-0.30;-78.64;0.00;-27.46;-6.13;-80.16;-1.30;0.00;0.00;0.00;0.17;4108;6152;1527;118;72.6;79;986;1058;9117;37.7;154.2;1083;333;0.10;0.01;19.17;0.32;-337;-733;-5 391;-1 878;-30.8;-52.3;-405.6;-133.4;0.005;0.086;2.947;0.174
7.2.2017 11:00;-913;-1 354;-8 035;-2 192;-3.30;-0.30;-66.93;0.00;-27.19;-6.51;-63.91;-1.66;0.00;0.00;0.00;0.37;4038;6141;1547;118;78.6;59;1050;1079;9117;35.9;154.2;1126;324;0.35;0.00;42.58;0.37;-329;-709;-5 311;-1 889;-30.1;-50.6;-399.8;-134.2;0.006;0.224;4.534;0.227
7.2.2017 12:00;-931;-1 365;-7 963;-2 144;-3.30;-0.10;-98.48;0.00;-26.89;-7.52;-60.07;-1.38;0.00;0.00;0.00;0.15;4142;6006;1492;116;77.4;64;1112;1078;9116;36.6;152.0;1137;322;0.36;0.00;0.27;0.38;-321;-686;-5 253;-1 889;-29.3;-49.1;-395.5;-134.3;0.005;0.302;5.998;0.392
7.2.2017 13:00;-947;-1 382;-7 968;-2 166;-3.29;-0.41;-104.92;0.00;-26.26;-8.36;-51.98;-1.60;0.00;0.00;0.00;0.10;4012;5999;1484;116;88.5;63;1181;1057;9119;36.8;146.7;1181;324;0.36;0.01;0.26;0.41;-314;-672;-5 163;-1 875;-28.7;-48.0;-388.8;-133.3;0.004;0.229;5.878;0.545
7.2.2017 14:00;-950;-1 406;-7 967;-2 139;-3.11;-0.31;-91.03;0.00;-20.11;-7.88;-57.51;-1.56;0.00;0.00;0.00;0.09;4015;5962;1384;114;85.6;62;1206;1043;9120;36.8;145.9;1210;325;0.36;0.00;0.25;0.41;-319;-674;-5 143;-1 877;-29.3;-48.2;-387.4;-133.4;0.001;0.127;3.840;0.260
7.2.2017 15:00;-929;-1 430;-7 923;-2 100;-3.31;-0.16;-92.97;0.00;-9.70;-6.90;-54.91;-1.50;0.00;0.00;0.00;0.21;4124;5916;1327;116;114.4;84;1220;1060;9119;35.2;150.3;1212;322;0.35;0.01;0.24;0.37;-342;-714;-5 291;-1 924;-31.4;-51.0;-398.4;-136.7;0.000;0.019;1.097;0.077
7.2.2017 16:00;-934;-1 392;-7 647;-1 970;-3.36;-0.36;-88.21;0.00;-8.72;-6.05;-53.32;-1.40;0.00;0.00;0.00;0.12;4113;5969;1367;117;150.5;126;1232;1037;9121;35.6;150.9;1247;317;0.36;0.01;0.23;0.41;-386;-807;-5 747;-2 034;-35.3;-57.6;-432.7;-144.5;0.000;0.001;0.060;0.017
7.2.2017 17:00;-917;-1 364;-7 535;-1 912;-3.43;-0.11;-103.97;0.00;-10.76;-5.71;-54.74;-1.33;0.00;0.00;0.00;0.38;4166;6130;1536;128;155.1;149;1192;1054;9122;36.0;159.7;1221;318;0.36;0.01;0.25;0.37;-403;-874;-6 419;-2 225;-36.8;-62.3;-483.4;-158.4;0.000;0.005;0.012;0.012
7.2.2017 18:00;-893;-1 358;-7 231;-1 825;-3.37;-0.31;-101.49;0.00;-9.93;-7.22;-62.95;-1.34;0.00;0.00;0.00;0.40;4190;6099;1426;130;153.7;180;1183;1076;9120;36.6;158.2;1160;319;0.35;0.00;0.25;0.38;-401;-877;-6 577;-2 245;-36.8;-62.5;-495.1;-159.8;0.000;0.000;0.011;0.013
7.2.2017 19:00;-904;-1 330;-7 180;-1 763;-3.44;-0.29;-79.28;0.00;-13.00;-6.69;-67.95;-1.61;0.00;0.00;0.00;0.36;4122;5776;1310;117;151.9;175;1139;1077;9122;37.2;158.3;1155;312;0.36;0.01;0.26;0.45;-399;-872;-6 511;-2 194;-36.6;-62.2;-489.7;-156.1;0.000;0.005;0.012;0.013
7.2.2017 20:00;-921;-1 306;-6 982;-1 716;-3.44;-0.19;-94.89;0.00;-13.85;-7.70;-66.78;-1.67;0.00;0.00;0.00;0.37;3920;5264;1191;93;153.5;179;1091;1076;9124;35.5;161.3;1177;304;0.36;0.01;0.29;0.47;-395;-863;-6 322;-2 118;-36.2;-61.7;-475.1;-150.6;0.000;0.005;0.011;0.012
7.2.2017 21:00;-900;-1 313;-6 760;-1 648;-3.44;-0.14;-83.64;0.00;-17.49;-7.68;-58.41;-1.30;0.00;0.00;0.00;0.46;3576;4884;926;84;156.6;190;1082;1042;9124;36.4;160.2;1194;305;0.37;0.02;0.30;0.48;-386;-845;-6 041;-2 024;-35.4;-60.5;-453.5;-143.7;0.000;0.006;0.012;0.010
7.2.2017 22:00;-879;-1 309;-6 478;-1 585;-3.53;-0.24;-51.19;0.00;-9.41;-6.27;-52.86;-1.39;0.00;0.00;0.00;0.37;2717;4387;844;73;180.2;192;1108;1043;9122;36.8;159.6;1175;300;0.35;0.03;0.38;0.42;-373;-819;-5 674;-1 899;-34.1;-58.7;-425.2;-134.6;0.000;0.006;0.012;0.012
7.2.2017 23:00;-872;-1 278;-6 246;-1 511;-3.39;-0.14;-60.38;0.00;-9.25;-6.55;-52.07;-1.35;0.00;0.00;0.00;0.29;1916;3977;766;70;209.2;187;1088;1051;9124;36.8;158.7;1167;288;0.35;0.03;0.37;0.40;-359;-788;-5 302;-1 779;-32.9;-56.6;-396.8;-125.8;0.000;0.004;0.010;0.011
8.2.2017 0:00;-870;-1 240;-6 094;-1 447;-3.43;-0.24;-94.45;0.00;-9.51;-7.32;-52.40;-1.47;0.00;0.00;0.00;0.41;1703;3407;734;57;224.2;168;1112;1045;9122;35.7;156.4;1170;295;0.35;0.03;0.40;0.37;-352;-774;-5 084;-1 705;-32.2;-55.6;-380.0;-120.4;0.000;0.005;0.010;0.007
8.2.2017 1:00;-831;-1 213;-6 081;-1 421;-3.46;-0.19;-66.53;0.00;-16.21;-6.28;-51.13;-1.27;0.00;0.00;0.00;0.17;1670;3177;714;53;233.0;171;1125;1089;9123;34.4;154.5;1106;300;0.35;0.04;0.38;0.42;-353;-774;-5 003;-1 680;-32.3;-55.7;-373.8;-118.6;0.000;0.002;0.010;0.009
8.2.2017 2:00;-831;-1 214;-6 028;-1 410;-3.50;-0.19;-74.93;0.00;-9.18;-5.84;-55.86;-1.28;0.00;0.00;0.00;0.22;1686;3171;709;52;241.5;175;1139;1073;9123;34.9;156.6;1059;299;0.37;0.04;0.41;0.42;-356;-784;-4 989;-1 675;-32.6;-56.4;-372.7;-118.2;0.000;0.000;0.010;0.011
8.2.2017 3:00;-820;-1 206;-6 091;-1 419;-3.49;-0.29;-71.89;0.00;-4.93;-5.35;-59.13;-1.56;0.00;0.00;0.00;0.29;1681;3215;745;52;241.9;173;1132;1043;9123;35.3;159.5;1058;296;0.38;0.07;0.40;0.41;-366;-801;-5 014;-1 680;-33.5;-57.6;-374.4;-118.5;0.000;0.000;0.010;0.010
8.2.2017 4:00;-826;-1 243;-6 151;-1 450;-3.51;-0.14;-94.36;0.00;-3.17;-5.83;-58.30;-1.70;0.00;0.00;0.00;0.23;1676;3289;793;56;235.1;161;1160;1058;9122;35.2;160.3;1096;305;0.36;0.08;0.38;0.35;-379;-829;-5 093;-1 702;-34.6;-59.6;-380.3;-120.0;0.000;0.000;0.009;0.012
8.2.2017 5:00;-827;-1 282;-6 331;-1 541;-3.46;-0.14;-51.10;0.00;-2.77;-7.29;-54.72;-1.50;0.00;0.00;0.00;0.19;2157;4149;865;56;218.8;146;1135;1022;9122;40.0;156.2;1175;307;0.36;0.06;0.34;0.33;-398;-869;-5 295;-1 769;-36.2;-62.4;-395.3;-124.8;0.000;0.000;0.008;0.011
8.2.2017 6:00;-885;-1 342;-7 190;-1 795;-3.29;-0.28;-102.99;0.00;-2.83;-7.41;-56.83;-1.54;0.00;0.00;0.00;0.19;3537;5188;1062;81;193.2;135;1116;978;9122;34.2;156.4;1241;315;0.37;0.04;0.28;0.25;-418;-917;-5 716;-1 906;-38.0;-65.8;-427.1;-134.6;0.000;0.001;0.009;0.011
8.2.2017 7:00;-927;-1 394;-7 923;-2 054;-3.18;-0.20;-101.89;0.00;-4.64;-8.27;-56.90;-2.12;0.00;0.00;0.00;0.14;4187;5983;1381;105;142.7;159;1137;967;9123;34.4;165.2;1277;322;0.36;0.01;0.25;0.14;-419;-935;-5 957;-1 993;-38.1;-67.1;-445.6;-141.2;0.000;0.004;0.010;0.012
8.2.2017 8:00;-938;-1 410;-8 137;-2 134;-2.90;-0.31;-86.30;0.00;-4.32;-8.41;-52.57;-2.13;0.00;0.00;0.00;0.17;4237;6179;1438;125;154.8;193;1130;925;9123;34.4;160.4;1299;323;0.34;0.01;0.25;0.26;-412;-914;-5 825;-1 963;-37.4;-65.7;-436.3;-139.2;0.000;0.000;0.200;0.040
8.2.2017 9:00;-944;-1 433;-8 127;-2 128;-2.98;-0.53;-64.05;0.00;-5.02;-7.53;-41.99;-1.36;0.00;0.00;0.00;0.16;4180;6212;1294;133;160.2;226;1060;938;9123;32.5;153.5;1317;314;0.35;0.01;0.28;0.33;-406;-899;-5 700;-1 950;-36.9;-64.7;-427.6;-138.3;0.002;0.008;1.564;0.218
8.2.2017 10:00;-942;-1 440;-8 167;-2 166;-3.07;-0.75;-56.65;0.00;-4.32;-6.43;-48.27;-1.48;0.00;0.00;0.00;0.06;4007;6264;1290;131;145.3;234;1008;959;9120;28.3;150.4;1334;316;0.37;0.01;5.17;0.34;-394;-872;-5 554;-1 931;-35.8;-62.8;-417.2;-137.1;0.004;0.058;3.322;0.468
8.2.2017 11:00;-931;-1 432;-8 132;-2 167;-3.08;-0.74;-75.04;0.00;-4.35;-3.66;-49.66;-1.63;0.00;0.00;2.26;0.19;4014;6187;1252;118;138.6;228;977;937;9124;27.0;149.7;1349;321;0.36;0.00;12.71;0.36;-380;-843;-5 443;-1 922;-34.6;-60.8;-409.5;-136.5;0.006;0.114;4.549;0.431
8.2.2017 12:00;-947;-1 423;-8 017;-2 132;-3.03;-0.81;-89.23;0.00;-3.85;-3.62;-47.15;-1.30;0.00;0.00;0.00;0.14;4258;6096;1215;105;123.6;192;986;951;9123;28.5;148.4;1339;315;0.37;0.00;14.13;0.37;-368;-816;-5 352;-1 902;-33.5;-58.9;-403.0;-135.2;0.007;0.079;4.667;0.567
8.2.2017 13:00;-961;-1 422;-8 022;-2 154;-3.03;-0.71;-84.89;0.00;-3.08;-3.66;-57.70;-1.75;0.00;0.00;0.97;0.29;4234;6177;1387;100;126.6;168;1048;957;9124;32.6;147.9;1343;299;0.37;0.01;3.51;0.40;-358;-793;-5 246;-1 878;-32.7;-57.2;-395.1;-133.5;0.003;0.054;3.762;0.440
